YearMonth,Preco_Kg_Real,SPI_A001,SPI_A002,SPI_A003,SPI_A004,SPI_A008,SPI_A009,SPI_A010,SPI_A011,SPI_A012,SPI_A013,SPI_A014,SPI_A015,SPI_A016,SPI_A018,SPI_A020,SPI_A021,SPI_A023,SPI_A024,SPI_A025,SPI_A026,SPI_A027,SPI_A028,SPI_A033,SPI_A034,SPI_A035,SPI_A036,SPI_A037,SPI_A040,SPI_A041,SPI_A042,SPI_A043,SPI_A044,SPI_A045,SPI_A047,SPI_A049,SPI_A050,SPI_A051,SPI_A053,SPI_A055
2002-04,0.173833333,-1.700692974,-3.90138493,-0.735002893,0.146284808,-0.07661315,-1.164368249,-1.109590394,-0.860863953,-0.820004152,-0.70483001,-0.70483001,-0.767560913,-0.717148548,-0.793509707,-0.780469618,-0.780469618,-0.729576886,-0.668496377,-0.729576886,-0.65658098,-0.598332162,0.057435263,-0.668496377,-0.621377694,-0.65658098,-0.644758083,-0.281110101,-0.009567429,-0.03827848,0.54204681,0.086212229,-0.455353474,-0.530998459,0.465991794,0.434229026,0.41329661,0.36172539,0.36172539,0.434229026
2002-05,0.1885,-1.643695083,-3.885511135,-0.730234376,0.180303076,-0.07661315,-1.164368249,-1.109590394,-0.860863953,-0.820004152,-0.70483001,-0.70483001,-0.767560913,-0.717148548,-0.793509707,-0.780469618,-0.780469618,-0.729576886,-0.668496377,-0.729576886,-0.65658098,-0.598332162,0.057435263,-0.668496377,-0.621377694,-0.65658098,-0.644758083,-0.281110101,-0.009567429,-0.03827848,0.54204681,0.086212229,-0.455353474,-0.530998459,0.465991794,0.434229026,0.41329661,0.36172539,0.36172539,0.434229026
2002-06,0.202833333,-1.643695083,-3.885511135,-0.730234376,0.180303076,-0.07661315,-1.164368249,-1.109590394,-0.860863953,-0.820004152,-0.70483001,-0.70483001,-0.767560913,-0.717148548,-0.793509707,-0.780469618,-0.780469618,-0.729576886,-0.668496377,-0.729576886,-0.65658098,-0.598332162,0.057435263,-0.668496377,-0.621377694,-0.65658098,-0.644758083,-0.281110101,-0.009567429,-0.03827848,0.54204681,0.086212229,-0.455353474,-0.530998459,0.465991794,0.434229026,0.41329661,0.36172539,0.36172539,0.434229026
2002-07,0.209,-1.627103951,-3.885511135,-0.726728431,0.180880163,-0.07661315,-1.164368249,-1.109590394,-0.860863953,-0.820004152,-0.70483001,-0.70483001,-0.767560913,-0.717148548,-0.793509707,-0.780469618,-0.780469618,-0.729576886,-0.668496377,-0.729576886,-0.65658098,-0.598332162,0.057435263,-0.668496377,-0.621377694,-0.65658098,-0.644758083,-0.281110101,-0.009567429,-0.03827848,0.54204681,0.086212229,-0.455353474,-0.530998459,0.465991794,0.434229026,0.41329661,0.36172539,0.36172539,0.434229026
2002-08,0.216666667,-1.737365631,-3.842026216,-0.724478043,0.180880163,-0.07661315,-1.164368249,-1.109590394,-0.860863953,-0.820004152,-0.70483001,-0.70483001,-0.767560913,-0.717148548,-0.793509707,-0.780469618,-0.780469618,-0.729576886,-0.668496377,-0.729576886,-0.65658098,-0.598332162,0.057435263,-0.668496377,-0.621377694,-0.65658098,-0.644758083,-0.281110101,-0.009567429,-0.03827848,0.54204681,0.086212229,-0.455353474,-0.530998459,0.465991794,0.434229026,0.41329661,0.36172539,0.36172539,0.434229026
2002-09,0.236833333,-1.720621337,-3.711469156,-0.650468328,0.191443605,-0.07661315,-1.164368249,-1.109590394,-0.860863953,-0.820004152,-0.70483001,-0.70483001,-0.767560913,-0.717148548,-0.793509707,-0.780469618,-0.780469618,-0.729576886,-0.668496377,-0.729576886,-0.65658098,-0.598332162,0.057435263,-0.668496377,-0.621377694,-0.65658098,-0.644758083,-0.281110101,-0.009567429,-0.03827848,0.54204681,0.086212229,-0.455353474,-0.530998459,0.465991794,0.434229026,0.41329661,0.36172539,0.36172539,0.434229026
2002-10,0.316166667,-2.158560089,-3.663551708,-0.610968809,0.251717346,-0.07661315,-1.164368249,-1.109590394,-0.860863953,-0.820004152,-0.70483001,-0.70483001,-0.767560913,-0.717148548,-0.793509707,-0.780469618,-0.780469618,-0.729576886,-0.668496377,-0.729576886,-0.65658098,-0.598332162,0.057435263,-0.668496377,-0.621377694,-0.65658098,-0.644758083,-0.281110101,-0.009567429,-0.03827848,0.54204681,0.086212229,-0.455353474,-0.530998459,0.465991794,0.434229026,0.41329661,0.36172539,0.36172539,0.434229026
2002-11,0.385666667,-2.425646124,-3.175788646,-0.510410603,0.388942352,-0.07661315,-1.164368249,-1.109590394,-0.860863953,-0.820004152,-0.70483001,-0.70483001,-0.767560913,-0.717148548,-0.793509707,-0.780469618,-0.780469618,-0.729576886,-0.668496377,-0.729576886,-0.65658098,-0.598332162,0.057435263,-0.668496377,-0.621377694,-0.65658098,-0.644758083,-0.281110101,-0.009567429,-0.03827848,0.54204681,0.086212229,-0.455353474,-0.530998459,0.465991794,0.434229026,0.41329661,0.36172539,0.36172539,0.434229026
2002-12,0.382333333,-1.675677119,-2.279265727,-0.294927027,0.525345509,-0.07661315,-1.164368249,-1.109590394,-0.860863953,-0.820004152,-0.70483001,-0.70483001,-0.767560913,-0.717148548,-0.793509707,-0.780469618,-0.780469618,-0.729576886,-0.668496377,-0.729576886,-0.65658098,-0.598332162,0.057435263,-0.668496377,-0.621377694,-0.65658098,-0.644758083,-0.281110101,-0.009567429,-0.03827848,0.54204681,0.086212229,-0.455353474,-0.530998459,0.465991794,0.434229026,0.41329661,0.36172539,0.36172539,0.434229026
2003-01,0.327,-1.285968481,-1.365038227,-0.04984983,0.559332641,-0.07661315,-1.164368249,-1.109590394,-0.860863953,-0.820004152,-0.70483001,-0.70483001,-0.767560913,-0.717148548,-0.793509707,-0.780469618,-0.780469618,-0.729576886,-0.668496377,-0.729576886,-0.65658098,-0.598332162,0.057435263,-0.668496377,-0.621377694,-0.65658098,-0.644758083,-0.281110101,-0.009567429,-0.03827848,0.54204681,0.086212229,-0.455353474,-0.530998459,0.465991794,0.434229026,0.41329661,0.36172539,0.36172539,0.434229026
2003-02,0.329,-1.174297552,-0.626028017,0.144747899,0.560876736,-0.07661315,-1.164368249,-1.109590394,-0.860863953,-0.820004152,-0.70483001,-0.70483001,-0.767560913,-0.717148548,-0.793509707,-0.780469618,-0.780469618,-0.729576886,-0.668496377,-0.729576886,-0.65658098,-0.598332162,0.057435263,-0.668496377,-0.621377694,-0.65658098,-0.644758083,-0.281110101,-0.009567429,-0.03827848,0.54204681,0.086212229,-0.455353474,-0.530998459,0.465991794,0.434229026,0.41329661,0.36172539,0.36172539,0.434229026
2003-03,0.320833333,-1.465163749,-0.253806099,0.360383609,0.562934367,-0.07661315,-1.164368249,-1.109590394,-0.860863953,-0.820004152,-0.70483001,-0.70483001,-0.767560913,-0.717148548,-0.793509707,-0.780469618,-0.780469618,-0.729576886,-0.668496377,-0.729576886,-0.65658098,-0.598332162,0.057435263,-0.668496377,-0.621377694,-0.65658098,-0.644758083,-0.281110101,-0.009567429,-0.03827848,0.54204681,0.086212229,-0.455353474,-0.530998459,0.465991794,0.434229026,0.41329661,0.36172539,0.36172539,0.434229026
2003-04,0.310833333,-1.679521714,0.137432632,0.416193416,0.562934367,-0.07661315,-1.164368249,-1.109590394,-0.860863953,-0.820004152,-0.70483001,-0.70483001,-0.767560913,-0.717148548,-0.793509707,-0.780469618,-0.780469618,-0.729576886,-0.668496377,-0.729576886,-0.65658098,-0.598332162,0.057435263,-0.668496377,-0.621377694,-0.65658098,-0.644758083,-0.281110101,-0.009567429,-0.03827848,0.54204681,0.086212229,-0.455353474,-0.530998459,0.465991794,0.434229026,0.41329661,0.36172539,0.36172539,0.434229026
2003-05,0.2625,-1.76511888,0.139939843,0.425995447,0.564476719,-0.07661315,-1.164368249,-1.109590394,-0.860863953,-0.820004152,-0.70483001,-0.70483001,-0.767560913,-0.717148548,-0.793509707,-0.780469618,-0.780469618,-0.729576886,-0.668496377,-0.729576886,-0.65658098,-0.598332162,0.057435263,-0.668496377,-0.621377694,-0.65658098,-0.644758083,-0.281110101,-0.009567429,-0.03827848,0.54204681,0.086212229,-0.455353474,-0.530998459,0.465991794,0.434229026,0.41329661,0.36172539,0.36172539,0.434229026
2003-06,0.24,-1.76511888,0.143950077,0.424512692,0.568414894,-0.07661315,-1.164368249,-1.109590394,-0.860863953,-0.820004152,-0.70483001,-0.70483001,-0.767560913,-0.717148548,-0.793509707,-0.780469618,-0.780469618,-0.729576886,-0.668496377,-0.729576886,-0.65658098,-0.598332162,0.057435263,-0.668496377,-0.621377694,-0.65658098,-0.644758083,-0.281110101,-0.009567429,-0.03827848,0.54204681,0.086212229,-0.455353474,-0.530998459,0.465991794,0.434229026,0.41329661,0.36172539,0.36172539,0.434229026
2003-07,0.213166667,-1.808514377,0.143950077,0.424512692,0.567045646,-0.076606894,-1.164368249,-1.109590394,-0.860863953,-0.820004152,-0.70483001,-0.70483001,-0.767560913,-0.717148548,-0.793509707,-0.780469618,-0.780469618,-0.729576886,-0.668496377,-0.729576886,-0.65658098,-0.598332162,0.057435263,-0.668496377,-0.621377694,-0.65658098,-0.644758083,-0.281110101,-0.009567429,-0.03827848,0.54204681,0.086212229,-0.455353474,-0.530998459,0.465991794,0.434229026,0.41329661,0.36172539,0.36172539,0.434229026
2003-08,0.228833333,-1.816306397,0.108806059,0.412321713,0.575593801,-0.07656595,-1.164368249,-1.109590394,-0.860863953,-0.820004152,-0.70483001,-0.70483001,-0.767560913,-0.717148548,-0.793509707,-0.780469618,-0.780469618,-0.729576886,-0.668496377,-0.729576886,-0.65658098,-0.598332162,0.057435263,-0.668496377,-0.621377694,-0.65658098,-0.644758083,-0.281110101,-0.009567429,-0.03827848,0.54204681,0.086212229,-0.455353474,-0.530998459,0.465991794,0.434229026,0.41329661,0.36172539,0.36172539,0.434229026
2003-09,0.268833333,-1.940489314,-0.153632927,0.334855313,0.533141011,-0.07653236,-1.164368249,-1.109590394,-0.860863953,-0.820004152,-0.70483001,-0.70483001,-0.767560913,-0.717148548,-0.793509707,-0.780469618,-0.780469618,-0.729576886,-0.668496377,-0.729576886,-0.65658098,-0.598332162,0.057435263,-0.668496377,-0.621377694,-0.65658098,-0.644758083,-0.281110101,-0.009567429,-0.03827848,0.54204681,0.086212229,-0.455353474,-0.530998459,0.465991794,0.434229026,0.41329661,0.36172539,0.36172539,0.434229026
2003-10,0.250333333,-2.207076559,-0.386693633,0.237091495,0.381516022,-0.07612075,-1.164368249,-1.109590394,-0.860863953,-0.820004152,-0.70483001,-0.70483001,-0.767560913,-0.717148548,-0.793509707,-0.780469618,-0.780469618,-0.729576886,-0.668496377,-0.729576886,-0.65658098,-0.598332162,0.057435263,-0.668496377,-0.621377694,-0.65658098,-0.644758083,-0.281110101,-0.009567429,-0.03827848,0.54204681,0.086212229,-0.455353474,-0.530998459,0.465991794,0.434229026,0.41329661,0.36172539,0.36172539,0.434229026
2003-11,0.256666667,-2.125677348,-0.78015182,0.213485762,0.248700051,-0.072424545,-1.164368249,-1.109590394,-0.860863953,-0.820004152,-0.70483001,-0.70483001,-0.767560913,-0.717148548,-0.793509707,-0.780469618,-0.780469618,-0.729576886,-0.668496377,-0.729576886,-0.65658098,-0.598332162,0.057435263,-0.668496377,-0.621377694,-0.65658098,-0.644758083,-0.281110101,-0.009567429,-0.03827848,0.54204681,0.086212229,-0.455353474,-0.530998459,0.465991794,0.434229026,0.41329661,0.36172539,0.36172539,0.434229026
2003-12,0.256666667,-1.798782789,-0.707151138,-0.032591553,-0.082739816,-0.060954779,-1.164368249,-1.109590394,-0.860863953,-0.820004152,-0.70483001,-0.70483001,-0.767560913,-0.717148548,-0.793509707,-0.780469618,-0.780469618,-0.729576886,-0.668496377,-0.729576886,-0.65658098,-0.598332162,0.057435263,-0.668496377,-0.621377694,-0.65658098,-0.644758083,-0.281110101,-0.009567429,-0.03827848,0.54204681,0.086212229,-0.455353474,-0.530998459,0.465991794,0.434229026,0.41329661,0.36172539,0.36172539,0.434229026
2004-01,0.244166667,-1.077702849,0.036626124,-0.191553971,-0.409575685,-0.00172337,-1.164368249,-1.109590394,-0.860863953,-0.820004152,-0.70483001,-0.70483001,-0.767560913,-0.717148548,-0.793509707,-0.780469618,-0.780469618,-0.729576886,-0.668496377,-0.729576886,-0.65658098,-0.598332162,0.057435263,-0.668496377,-0.621377694,-0.65658098,-0.644758083,-0.281110101,-0.009567429,-0.03827848,0.54204681,0.086212229,-0.455353474,-0.530998459,0.465991794,0.434229026,0.41329661,0.36172539,0.36172539,0.434229026
