YearMonth,Preco_Kg_Real,SPI_A001,SPI_A002,SPI_A003,SPI_A004,SPI_A008,SPI_A009,SPI_A010,SPI_A011,SPI_A012,SPI_A013,SPI_A014,SPI_A015,SPI_A016,SPI_A018,SPI_A020,SPI_A021,SPI_A023,SPI_A024,SPI_A025,SPI_A026,SPI_A027,SPI_A028,SPI_A033,SPI_A034,SPI_A035,SPI_A036,SPI_A037,SPI_A040,SPI_A041,SPI_A042,SPI_A043,SPI_A044,SPI_A045
2005-05,0.195,0.131124773,0.349302176,1.214512829,0.526893655,0.87036095,1.043500864,0.67040696,-0.754778861,-0.173071254,-0.729576886,0.553161727,-0.742118954,-0.806686145,-0.754778861,-0.68050745,-0.742118954,-0.598332162,-0.793509707,-0.806686145,-0.633024633,-0.598332162,-0.564345408,-0.598332162,-0.54204681,-0.54204681,-0.575600126,-0.633024633,-0.498231886,-0.633024633,-0.586928231,-0.633024633,-0.621377694,0.009567429
2005-06,0.175666667,0.131124773,0.349501937,1.214245485,0.526893655,0.87036095,1.043373965,0.67040696,-0.754778861,-0.173071254,-0.729576886,0.553161727,-0.742118954,-0.806686145,-0.754778861,-0.68050745,-0.742118954,-0.598332162,-0.793509707,-0.806686145,-0.633024633,-0.598332162,-0.564345408,-0.598332162,-0.54204681,-0.54204681,-0.575600126,-0.633024633,-0.498231886,-0.633024633,-0.586928231,-0.633024633,-0.621377694,0.009567429
2005-07,0.1885,0.132186087,0.374182249,1.214156363,0.527017552,0.866526383,1.041257208,0.67058094,-0.754778861,-0.173071254,-0.729576886,0.553161727,-0.742118954,-0.806686145,-0.754778861,-0.68050745,-0.742118954,-0.598332162,-0.793509707,-0.806686145,-0.633024633,-0.598332162,-0.564345408,-0.598332162,-0.54204681,-0.54204681,-0.575600126,-0.633024633,-0.498231886,-0.633024633,-0.586928231,-0.633024633,-0.621377694,0.009567429
2005-08,0.187333333,0.183621542,0.302436581,1.183541701,0.491078016,0.852785368,1.021235673,0.693463132,-0.754778861,-0.173071254,-0.729576886,0.553161727,-0.742118954,-0.806686145,-0.754778861,-0.68050745,-0.742118954,-0.598332162,-0.793509707,-0.806686145,-0.633024633,-0.598332162,-0.564345408,-0.598332162,-0.54204681,-0.54204681,-0.575600126,-0.633024633,-0.498231886,-0.633024633,-0.586928231,-0.633024633,-0.621377694,0.009567429
2005-09,0.163,0.325834365,0.245045968,1.198142013,0.364298792,0.758361345,0.947558003,0.773800579,-0.754778861,-0.173071254,-0.729576886,0.553161727,-0.742118954,-0.806686145,-0.754778861,-0.68050745,-0.742118954,-0.598332162,-0.793509707,-0.806686145,-0.633024633,-0.598332162,-0.564345408,-0.598332162,-0.54204681,-0.54204681,-0.575600126,-0.633024633,-0.498231886,-0.633024633,-0.586928231,-0.633024633,-0.621377694,0.009567429
2005-10,0.145333333,0.203247615,0.059224803,1.228899037,0.10530485,0.652263785,0.905257127,0.823447278,-0.754778861,-0.173071254,-0.729576886,0.553161727,-0.742118954,-0.806686145,-0.754778861,-0.68050745,-0.742118954,-0.598332162,-0.793509707,-0.806686145,-0.633024633,-0.598332162,-0.564345408,-0.598332162,-0.54204681,-0.54204681,-0.575600126,-0.633024633,-0.498231886,-0.633024633,-0.586928231,-0.633024633,-0.621377694,0.009567429
2005-11,0.143833333,0.171015395,0.298789142,1.300171675,-0.186674496,0.448567808,0.835248384,0.837021546,-0.754778861,-0.173071254,-0.729576886,0.553161727,-0.742118954,-0.806686145,-0.754778861,-0.68050745,-0.742118954,-0.598332162,-0.793509707,-0.806686145,-0.633024633,-0.598332162,-0.564345408,-0.598332162,-0.54204681,-0.54204681,-0.575600126,-0.633024633,-0.498231886,-0.633024633,-0.586928231,-0.633024633,-0.621377694,0.009567429
2005-12,0.138333333,0.152831443,0.595755527,1.249770185,-0.597717902,0.190915397,0.706438359,0.828916911,-0.754778861,-0.173071254,-0.729576886,0.553161727,-0.742118954,-0.806686145,-0.754778861,-0.68050745,-0.742118954,-0.598332162,-0.793509707,-0.806686145,-0.633024633,-0.598332162,-0.564345408,-0.598332162,-0.54204681,-0.54204681,-0.575600126,-0.633024633,-0.498231886,-0.633024633,-0.586928231,-0.633024633,-0.621377694,0.009567429
2006-01,0.136333333,0.254907441,0.663904535,1.023761412,-0.999171139,-0.121251555,0.53731296,0.753353168,-0.754778861,-0.173071254,-0.729576886,0.553161727,-0.742118954,-0.806686145,-0.754778861,-0.68050745,-0.742118954,-0.598332162,-0.793509707,-0.806686145,-0.633024633,-0.598332162,-0.564345408,-0.598332162,-0.54204681,-0.54204681,-0.575600126,-0.633024633,-0.498231886,-0.633024633,-0.586928231,-0.633024633,-0.621377694,0.009567429
2006-02,0.142833333,0.561128457,0.825073032,0.959150859,-1.388911606,-0.242850305,0.352369991,0.882136665,-0.754778861,-0.173071254,-0.729576886,0.553161727,-0.742118954,-0.806686145,-0.754778861,-0.68050745,-0.742118954,-0.598332162,-0.793509707,-0.806686145,-0.633024633,-0.598332162,-0.564345408,-0.598332162,-0.54204681,-0.54204681,-0.575600126,-0.633024633,-0.498231886,-0.633024633,-0.586928231,-0.633024633,-0.621377694,0.009567429
