YearMonth,Sinaloa-Sinaloa_precio_frec_mean,25015,25116,25037,14066,14132
2000-01,2,-1.92,-1.28,0.25,-0.24,0.32
2000-02,2.375,-1.91,-1.27,0.14,-0.21,0.32
2000-03,2.5,-1.92,-1.24,0.15,-0.2,0.32
2000-04,2.5,-1.92,-1.24,0.14,-0.18,0.33
2000-05,2.5,-1.91,-1.27,0.12,0.05,0.71
2000-06,2.5,-1.92,-1.21,0.32,0.27,0.73
2000-07,2.5,-1.86,-1.13,1.18,-0.44,0.41
2000-08,2.5,-2.32,-1.31,1.18,-0.57,-0.13
2000-09,2.425,-3.14,-2.41,0.14,-1.53,-0.6
2000-10,2.5,-1.91,-1.93,0.6,-1.3,-0.39
2000-11,2.08,-1.58,-1.85,0.94,-1.3,-0.37
2000-12,1.85,-1.55,-1.9,1.03,-1.27,-0.36
2001-01,2.1,-1.51,-1.95,1.01,-1.25,-0.35
2001-02,2,-1.4,-1.83,1.05,-1.2,-0.35
2001-03,2.057142857,-1.29,-1.72,1.08,-1.17,-0.33
2001-04,2,-1.29,-1.72,1.08,-1.14,-0.33
2001-05,2.275,-1.29,-1.73,1.06,-1.08,-0.28
2001-06,2.5,-1.55,-1.75,1.06,-0.67,-0.28
2001-07,2.2,-1.06,-1.7,0.95,0.01,-0.04
2001-08,2.22,-0.68,-0.98,1.24,-0.4,-0.2
2001-09,2.833333333,-0.74,-0.38,1.4,-0.31,-0.23
2001-10,2,-0.57,-0.33,1.33,-0.3,-0.36
2001-11,1.869387853,-0.56,-0.31,1.35,-0.31,-0.53
2001-12,1.799449773,-0.54,-0.33,1.48,-0.3,-0.53
2002-01,1.874605422,-0.49,-0.33,1.47,-0.21,-0.43
2002-02,2,-0.4,-0.27,1.47,-0.12,-0.37
2002-03,2.5,-0.41,-0.28,1.5,-0.11,-0.36
2002-04,2.5,-0.4,-0.28,1.5,-0.09,-0.36
2002-05,2.5,-0.4,-0.32,1.48,-0.25,-0.63
2002-06,2.5,-0.53,-0.36,1.21,-0.44,-0.7
2002-07,2.5,-0.49,-0.25,0.51,-0.33,-0.19
2002-08,2.5,-1.11,-0.14,0.03,-0.44,-0.1
