YearMonth,Ontario_Corn_price,Ottawa_SPI_1_month,Ottawa_SPI_24_month,International_Ontario_Corn_price
2012-01,236.98,0.143088012,0.461339346,272.9201455
2012-02,241.17,-1.614655199,0.270950455,279.5143214
2012-03,245.47,-0.609995611,0.3144857,280.715052
2012-04,249.99,-0.336484863,0.28708964,274.2192966
2012-05,243.2,0.385146067,0.490536013,268.8849036
2012-06,246.95,-0.345241722,0.316632256,267.3289218
2012-07,255.95,-2.996198147,0.129785662,332.9988526
2012-08,285.79,0.431669781,-0.381845849,332.2334953
2012-09,290.33,1.553813343,-0.434871478,320.7059056
2012-10,243.3,-0.368155977,-0.555760459,321.3824173
2012-11,222.27,-2.53369754,-0.975166609,321.5968705
2012-12,224.47,1.98740445,-0.456363422,308.7504006
2013-01,260.02,0.260535093,-0.24176872,303.3602112
2013-02,265.15,0.889180046,-0.03747381,302.6103405
2013-03,264.62,-1.123447206,-0.397056474,309.5792051
2013-04,261.36,0.088166171,-0.801838486,279.7648464
2013-05,258.04,0.261967266,-0.973992193,295.368975
2013-06,258.34,1.678307515,-0.508531233,297.1119132
2013-07,267.53,-0.80307486,-0.510235581,279.0132714
2013-08,289.61,-0.049928517,-0.523309047,234.9387661
2013-09,298.93,0.058249152,-0.321164559,207.4901734
2013-10,249.97,0.419073537,-0.326772408,201.7799929
2013-11,250.31,-0.671824259,-0.359903475,199.1824442
2013-12,255.96,-0.671675309,-0.43826279,197.5534486
2014-01,170.33,-1.260352461,-0.608295294,198.7719886
2014-02,175.26,0.059005211,-0.425267138,209.3560195
2014-03,186.33,-0.14240806,-0.358779131,222.3929172
2014-04,194.46,0.940769316,-0.119066681,222.4304107
2014-05,194.41,0.195824334,-0.16114522,216.975101
2014-06,189.86,1.637456826,0.315022368,202.633823
2014-07,256.52,0.081211321,0.680762938,182.2945163
2014-08,239.46,0.631703923,0.729378725,176.4820806
2014-09,227.24,0.555258111,0.486292794,163.1343813
2014-10,200.24,-0.135329408,0.527612543,163.3780893
2014-11,175.17,-1.322887224,0.623055712,178.7085351
2014-12,170.74,-1.160574437,0.092237574,178.7129461
2015-01,183.84,-0.556513924,-0.014951366,174.7948714
2015-02,186.25,-0.82251084,-0.256831362,173.7588658
2015-03,190.56,-1.57617503,-0.30043457,174.2938214
2015-04,189.53,-0.118570149,-0.335749533,172.151577
2015-05,186.02,-0.0767129,-0.407205894,166.3503895
2015-06,187.28,0.674202718,-0.694945986,166.8138607
2015-07,185.16,-0.609277247,-0.663322907,179.6085304
2015-08,179.49,-0.00862889,-0.65413675,162.7406991
2015-09,183.76,0.542905467,-0.549492127,166.077624
2015-10,183.17,0.366640665,-0.562031561,171.4485732
2015-11,176.96,-1.557503974,-0.663897241,166.0924241
2015-12,180.53,0.724273988,-0.438828087,164.0044018
2016-01,189.35,-0.346823907,-0.33743337,161.0988769
2016-02,192.9,1.478208494,-0.086484677,159.7168454
2016-03,193.3,1.142037173,0.149337732,159.2265321
2016-04,194.49,-0.850186163,-0.157264435,164.4654019
2016-05,197.23,-1.526355138,-0.429786022,169.0021199
2016-06,202.6,-0.746498853,-1.003970769,179.9127393
2016-07,194.36,0.480825312,-0.914812464,161.8230448
2016-08,194.12,0.9898678,-0.809380502,150.2154124
2016-09,201.81,0.009533678,-0.928852257,148.5119017
2016-10,189.37,0.712202106,-0.728947941,152.617444
2016-11,184.55,-0.262864955,-0.59285726,151.3314157
2016-12,187.23,0.476578324,-0.355406631,152.7299247
2017-01,187.19,0.173752638,-0.258505963,160.012107
2017-02,189.11,1.218776113,0.045302824,162.9625359
2017-03,196.21,0.099981118,0.247786684,158.9791193
2017-04,194.17,2.225032457,0.76430555,156.5404521
2017-05,196.45,2.059020963,1.313440986,158.6002196
2017-06,197.65,1.648150093,1.556588635,157.9739071
2017-07,202.61,1.915177545,2.074410062,157.6106459
2017-08,196.61,0.138836117,2.102605284,148.5434304
2017-09,192.16,-0.810810791,1.886276537,147.3158579
2017-10,190.37,1.536734623,2.166456604,148.7223768
2017-11,187.49,0.597779324,2.418401601,148.7921659
2017-12,186.35,-1.69524312,2.13646889,149.0874275
2018-01,180.8,0.406880306,2.226736931,155.9168753
2018-02,181.77,-0.008077576,2.00346157,163.4609697
2018-03,192.51,-0.588509604,1.739900498,172.07659
2018-04,195.87,-0.520787873,1.77893793,175.6009825
2018-05,200.16,-0.745510567,1.865449038,179.1790589
2018-06,202.21,-0.251960145,1.939913532,165.1402855
2018-07,200.26,1.643728481,2.198286443,156.5542655
2018-08,195.99,-0.224113144,1.939913532,162.5222585
2018-09,195.44,0.026809326,1.942807636,154.9450034
2018-10,188.39,-0.483002862,1.720345197,160.3655651
2018-11,182.44,0.609837402,1.846535093,160.8782077
2018-12,179.83,0.12734111,1.795012568,167.4898806
2019-01,194.91,-0.157683689,1.754550946,166.8462415
2019-02,198.9,0.553643255,1.647776935,169.6562835
2019-03,197.58,0.038577169,1.63892799,166.321332
2019-04,203.16,2.362344058,1.676256075,161.6533866
2019-05,200.51,0.831842483,1.330004748,171.1801536
2019-06,214.38,1.028407163,1.166599198,195.1679223
2019-07,201.68,-1.32736039,0.518087413,189.4863732
2019-08,202.62,-0.296930947,0.429955222,163.6286143
2019-09,203.93,-0.455699332,0.483109584,157.3744366
2019-10,196.33,1.80576059,0.569345293,167.2977941
2019-11,191.76,-2.423614706,0.217024804,166.3617855
2019-12,192.45,-0.280451909,0.377143732,167.0590173
2020-01,208.9,0.815766774,0.441133465,171.8141352
2020-02,213.59,-0.327707105,0.400638795,168.7445985
2020-03,217.37,-1.066093192,0.346115751,162.1791482
2020-05,211.72,-1.484171656,0.221346152,147.0121602
2020-06,211.95,-2.196465454,0.116192431,143.9892438
2020-07,207.72,-0.066321765,0.161815662,148.0423804
